gene_symbol,log2fc,p_value,direction
CLDN8,-4.099460287,1.62E-08,down
GHR,-4.096214699,1.47E-09,down
UHMK1,4.091619175,8.98E-25,up
TK1,4.089222601,1.54E-14,up
SAE1,4.08377535,5.60E-32,up
TAGLN2,4.08340035,4.02E-25,up
TMEFF2,-4.078034035,4.36E-27,down
JAK1,4.074244664,1.48E-19,up
TMEM9B,4.074157133,1.31E-23,up
LINC00408,-4.071936301,4.74E-47,down
MIR205HG,-4.069879685,5.25E-16,down
UBE2M,4.059342434,1.40E-28,up
RAB1A,4.058094846,1.57E-33,up
SRGN,4.057385154,1.72E-14,up
RAB5A,4.050067245,3.04E-19,up
MAPRE1,4.043676105,2.42E-36,up
HIST2H2AA3,4.043671867,7.00E-19,up
HSPH1,4.041918476,2.88E-28,up
TMEM206,4.041600832,4.79E-20,up
APOBEC3B,4.040228839,7.97E-09,up
KIF11,4.039152783,1.46E-13,up
LSM4,4.025009231,2.89E-34,up
EPRS,4.024221832,1.40E-15,up
EDNRB,-4.020497147,5.84E-21,down
NREP,4.019127881,2.39E-17,up
,-4.012380657,3.02E-34,down
HLF,-4.00598821,2.71E-36,down
,4.00199772,2.02E-24,up
GSTM5,-4.00075821,2.88E-34,down
,3.997734224,5.42E-18,up
FPR3,3.994262378,5.09E-12,up
DLK1,-3.994172231,3.99E-05,down
TWF1,3.987628818,1.22E-21,up
DPT,-3.977841692,4.13E-16,down
VAMP3,3.973033846,5.72E-18,up
AKIRIN1,3.971473979,1.18E-16,up
TYMS,3.970428776,1.69E-10,up
ITGA7,-3.969023727,7.15E-32,down
CPEB4,3.954254098,1.27E-21,up
KPNA2,3.953533909,1.07E-23,up
CTSS,3.951111126,1.24E-14,up
YWHAE,3.949536888,3.55E-21,up
NOLC1,3.947798538,1.43E-27,up
GPR160,3.94698972,8.11E-08,up
TMTC1,-3.943193741,5.37E-09,down
SMC3,3.938559965,1.21E-17,up
TMEM100,-3.937405566,1.24E-18,down
BGN,3.934346091,3.11E-18,up
POLR3K,3.928984133,6.48E-35,up
ERP27,3.926857573,4.51E-06,up
AGO2,3.925707713,4.46E-22,up
,-3.919118056,7.43E-34,down
IGFBP6,-3.916256615,1.80E-23,down
COPS8,3.912525133,2.65E-29,up
SPAG5,3.910124161,1.15E-09,up
SAMD5,-3.900168832,7.94E-34,down
CFL1,3.894911538,1.42E-39,up
BUB1B,3.892726133,1.43E-12,up
GPAM,-3.891927769,3.66E-21,down
MATR3,3.882503175,1.44E-19,up
ADAMTS9-AS2,-3.880547503,3.89E-29,down
TRPS1,3.879096371,3.14E-15,up
LEPR,-3.872766469,4.33E-12,down
UHRF1,3.870156678,1.47E-15,up
GADD45B,3.865419559,2.92E-23,up
TRIM59,3.862358217,1.05E-26,up
RIT1,3.860758329,6.27E-29,up
CDKN1C,-3.859395448,1.54E-14,down
TMEM97,3.856963685,2.17E-10,up
UBE2H,3.852339972,1.67E-28,up
,-3.849791762,2.42E-07,down
NAA50,3.845818853,3.76E-24,up
TSN,3.842583413,1.66E-28,up
,3.841335427,2.56E-22,up
FCGR1A,3.834476007,3.18E-15,up
CSNK1A1,3.832451042,1.36E-29,up
TSEN15,3.831963783,1.53E-27,up
RSPO3,-3.828672133,1.89E-10,down
,3.827650965,5.89E-24,up
HMMR,3.823357287,3.90E-11,up
RBMS3,-3.822565559,5.03E-11,down
,-3.822501531,4.55E-38,down
NUF2,3.809388559,2.29E-09,up
PDLIM5,3.807619909,5.95E-16,up
HLA-DQA1,3.806977881,2.10E-11,up
MIR143HG,-3.804065881,6.84E-17,down
PVRL2,3.80286771,1.26E-12,up
CNN1,-3.802005119,4.98E-13,down
MYO6,3.796655839,4.96E-17,up
LOC100507311,-3.796533636,2.44E-39,down
ANK2,-3.794995524,1.04E-09,down
MME,-3.792017643,8.34E-19,down
FYTTD1,3.788529902,5.81E-26,up
SRPK2,3.785362462,1.60E-30,up
PRKDC,3.782990455,8.13E-23,up
TNFRSF12A,3.779191042,4.60E-22,up
CTSB,3.77784828,3.47E-23,up
YIPF5,3.777713671,3.92E-27,up
FCGBP,-3.772489951,6.26E-08,down
