gene_symbol,log2fc,p_value,direction
IRF1,1.724315175,0.000456384,up
SH3GLB1,1.724000524,8.41E-16,up
SNX1,1.72394207,2.34E-09,up
GALK2,1.723928797,4.94E-09,up
LOC101930415,1.723522434,1.94E-07,up
ADA,1.723281937,1.19E-09,up
CHORDC1,1.722385028,1.07E-13,up
ZFAND3,1.722211993,1.49E-16,up
CYB561,1.721751378,9.29E-07,up
PCDHA1,1.721349909,0.004352223,up
FAM91A1,1.721056524,1.05E-17,up
USO1,1.720586734,2.08E-13,up
SLC31A1,1.720493783,7.04E-10,up
HIAT1,1.720385112,3.92E-17,up
EDNRA,1.720356336,1.67E-05,up
TRAPPC3,1.720325643,9.32E-16,up
TPPP3,-1.72004835,0.0001749,down
SNX33,-1.719829336,5.96E-25,down
MFHAS1,1.719517552,4.63E-07,up
C8orf33,1.718861706,2.03E-08,up
MED14,1.717915741,8.48E-12,up
CSE1L,1.717734545,8.09E-16,up
,-1.717342538,4.68E-08,down
DAPK3,1.717213119,1.50E-08,up
SLC35F5,1.717139685,2.49E-14,up
FAM150B,-1.717032594,0.000216016,down
CPAMD8,-1.716873357,0.000159102,down
DNAJC22,1.716830786,0.003011795,up
ELF1,1.716746594,3.00E-11,up
ARHGAP30,1.71671893,8.19E-06,up
ADRB2,-1.716199888,5.21E-05,down
CYCS,1.715946783,2.11E-16,up
MND1,1.71592765,0.000610136,up
CNOT6,1.715676063,1.41E-15,up
SYCE1L,-1.715140825,3.38E-15,down
,-1.71473879,1.00E-08,down
GIMAP2,1.713365622,7.86E-05,up
,1.713163881,2.32E-15,up
PCNXL2,-1.713065161,1.69E-08,down
MECOM,-1.712629706,3.58E-08,down
CUL4B,1.711971811,2.12E-12,up
PARD3,-1.71191665,6.57E-10,down
CTPS2,1.711494056,3.64E-08,up
GNAS,1.711128594,0.001371938,up
ARID1A,1.709745364,2.69E-16,up
LINC01140,-1.70960607,6.85E-06,down
MIF,1.709027832,4.91E-17,up
PSMD5,1.70865458,9.09E-14,up
ZNF746,1.708394091,5.52E-15,up
DRG2,1.708375105,1.26E-12,up
FERMT2,1.708058748,0.001788463,up
B3GNT1,-1.707900538,7.47E-16,down
BASP1,1.707824531,5.95E-06,up
EEF1D,-1.707690434,4.05E-13,down
,1.706828993,6.23E-10,up
RAD51,1.706700105,5.17E-05,up
C4orf3,1.70648379,6.10E-17,up
,-1.706220021,8.56E-06,down
PSMB3,1.706022657,2.43E-06,up
LILRB4,1.704926685,9.29E-05,up
ZNF300P1,-1.704815266,3.21E-12,down
ZBTB8A,1.704574042,3.12E-13,up
EIF2AK3,1.704469476,2.67E-17,up
UCHL1,1.704006573,0.021332429,up
,1.703962441,3.64E-10,up
FLJ20021,-1.703463741,6.37E-15,down
RCAN2,-1.703432133,1.58E-06,down
ATF6,1.702887552,1.32E-28,up
TLE4,-1.702687077,9.50E-07,down
FILIP1L,1.702417664,0.000454033,up
SEZ6L2,1.701761217,0.002419126,up
MAP4,-1.701414371,4.21E-15,down
PSMB8,1.701181336,0.00031856,up
PLEKHA2,1.701025035,3.32E-05,up
DNAJB14,1.700921986,2.15E-10,up
CHKA,1.70062728,1.50E-07,up
UBA5,1.700108972,1.66E-11,up
ATG12,1.699769748,2.16E-14,up
PPP1R10,1.699675434,2.46E-08,up
UACA,-1.699390552,2.07E-10,down
H3F3A,-1.699358231,7.89E-06,down
GCLC,1.699303315,6.93E-12,up
KANK4,-1.699187,0.022375739,down
APOOL,1.699125056,1.54E-10,up
LINC00667,-1.698640741,1.23E-05,down
ADAM10,1.698621671,1.57E-06,up
,-1.698471105,8.85E-08,down
ANKRD28,1.698083217,8.69E-07,up
SEPP1,-1.697384448,8.04E-05,down
,-1.695711266,2.00E-21,down
STAG1,1.695603769,9.70E-13,up
DNAJC15,1.694995028,0.000392743,up
MTA3,1.694935594,1.64E-12,up
ABLIM1,-1.693521455,1.49E-07,down
EIF3C,1.693257846,2.05E-09,up
KDM6A,1.692246664,5.79E-11,up
QRSL1,1.691420014,3.72E-07,up
BRPF3,1.691045434,7.31E-09,up
POLE2,1.690675105,0.000107896,up
C21orf2,-1.690266909,3.01E-35,down
ALAS1,1.69024558,5.12E-11,up
RNPEP,1.690193524,2.11E-17,up
ICA1,1.689763811,4.29E-06,up
PDE1C,-1.689493965,1.67E-13,down
NFASC,-1.689372839,0.005502754,down
TM4SF1,1.689198273,0.003464072,up
SYDE1,-1.688509238,1.70E-13,down
POMT2,-1.688407965,1.22E-08,down
,-1.68837993,8.21E-11,down
TBC1D5,1.68815593,2.95E-12,up
,-1.688026203,2.41E-11,down
MAVS,1.687958538,2.73E-07,up
TANK,1.68759549,1.73E-06,up
PILRA,1.687516315,5.97E-08,up
DIP2B,1.687435329,7.74E-14,up
GGCT,1.687155315,1.37E-10,up
EFNA5,-1.685953329,4.78E-05,down
TRIM9,-1.685707986,2.46E-06,down
DGUOK,1.685613434,4.62E-10,up
MSRB2,-1.685201678,2.72E-09,down
TMBIM6,1.685097552,3.47E-14,up
ANXA7,1.685033685,7.85E-18,up
DENND2A,-1.684823203,2.35E-26,down
DHDDS,-1.684272301,5.55E-14,down
GPR116,-1.683585839,1.85E-06,down
GSDMB,1.683068831,0.039198967,up
AVPR1A,-1.682871986,4.23E-07,down
LRP1,-1.681967748,7.68E-08,down
RCBTB1,1.681731343,2.39E-09,up
BLOC1S2,1.681003804,3.06E-19,up
SKA2,1.680994133,6.39E-06,up
ALDH7A1,-1.680780042,8.68E-21,down
UBE2D1,1.68042258,2.46E-14,up
NGLY1,1.680289853,2.84E-11,up
FAM220A,1.680057573,3.54E-17,up
C19orf10,1.68001751,3.20E-18,up
UBXN7,1.678933573,9.87E-08,up
PIAS3,1.678737594,9.85E-07,up
RABL3,1.678555685,1.29E-09,up
GALNT3,1.678542734,0.000251012,up
AGPS,1.678126469,2.24E-05,up
RNF138,1.678115755,3.75E-12,up
MB,1.678104797,0.001551836,up
HSPA12A,-1.677556923,1.88E-06,down
TNPO1,1.677408762,1.89E-18,up
CTD-2287O16.5,-1.677079783,2.81E-28,down
MAPT,-1.676969077,0.015853585,down
DPM1,1.676355524,1.07E-17,up
HIVEP1,1.676312818,5.79E-16,up
SPATA18,-1.676074909,0.000704608,down
GAS5,1.675819203,8.23E-11,up
STK17A,1.675365028,1.77E-10,up
PCBP1,1.675292252,4.69E-18,up
,1.674631601,2.07E-07,up
SLC12A2,1.674457979,0.015425081,up
LRRN3,-1.674432776,1.66E-11,down
GPCPD1,1.674348825,0.000124789,up
RPL27A,-1.674193951,1.06E-22,down
OGT,1.674032566,1.03E-07,up
AK096803,-1.673990077,2.91E-38,down
CHL1,-1.673939399,1.07E-05,down
DBNDD1,1.673238524,2.34E-05,up
SPINT2,1.673140832,1.01E-11,up
OAZ1,1.672974965,3.94E-25,up
BMS1P20,1.672845266,0.012843539,up
MAATS1,-1.672735469,5.64E-06,down
PPM1L,-1.672605455,3.28E-06,down
LOX,1.672573434,0.001837301,up
HIATL1,1.672457112,4.22E-17,up
TTC38,-1.672405853,9.45E-17,down
WDR5,1.672400133,1.01E-07,up
LRRFIP1,1.672395357,7.52E-15,up
ZDHHC4,1.672059259,7.46E-06,up
LINC00657,1.671972098,5.41E-10,up
SUPT16H,1.671901336,6.51E-06,up
MED10,1.671415573,6.78E-10,up
TIMM17B,1.670866657,5.32E-11,up
CREB5,-1.670601601,4.36E-06,down
PSMA7,1.67049435,5.19E-12,up
RGS5,1.670283727,0.001611385,up
MUM1,1.669450769,3.54E-09,up
MSL1,1.669329685,0.000257421,up
RSRC2,1.668976615,9.00E-24,up
CCR1,1.668499923,9.47E-05,up
ZFP36L1,1.668375713,3.23E-05,up
HYMAI,-1.66811386,1.22E-07,down
DAPP1,1.668047601,0.000355942,up
,-1.667948713,2.65E-20,down
NT5DC1,1.667656888,5.39E-09,up
COL4A6,-1.667552,2.43E-05,down
MTMR9LP,-1.667304573,5.49E-26,down
BAIAP2-AS1,-1.666990643,0.000149505,down
STX16,1.666765154,1.10E-10,up
NETO2,1.666756552,0.002811927,up
,1.666590552,9.98E-06,up
,1.666263979,9.07E-11,up
AC092620.2,-1.666248021,0.000134754,down
PRIM2,1.666156469,0.000104744,up
FUNDC1,1.666132329,1.28E-08,up
DYM,-1.666114196,4.57E-10,down
EIF3J,1.666062587,4.54E-17,up
NME6,1.665851762,1.01E-14,up
SCO2,1.665750462,8.57E-09,up
GOLT1B,1.665437657,3.80E-13,up
SMAD5,1.665308112,3.41E-08,up
NALCN,-1.665133273,5.19E-06,down
PPAP2A,-1.665131322,1.64E-09,down
CYC1,1.664971748,1.02E-08,up
MEN1,1.664850986,8.88E-15,up
NAB1,-1.664833986,3.53E-07,down
RBM25,1.663656238,2.92E-19,up
L3MBTL2,1.663424168,2.21E-15,up
GSKIP,1.663289252,1.35E-13,up
NUP205,1.662984392,5.33E-09,up
RPS24,1.662445853,4.84E-10,up
ARHGEF26,1.662204028,5.91E-05,up
CCSAP,1.66219393,3.35E-09,up
LAMP5,1.661871685,0.011636159,up
SNX5,1.661372671,1.18E-13,up
ERLIN1,1.661264378,1.11E-05,up
,1.661210867,0.000689975,up
,-1.660385832,0.002222032,down
AHNAK,-1.660340259,2.91E-05,down
DDX21,1.660293972,2.24E-12,up
BOP1,1.65990542,0.000408506,up
,1.659882664,2.00E-07,up
IRX2,-1.65933751,0.015306705,down
FBLIM1,1.659312622,3.42E-05,up
OLR1,1.659161811,1.95E-05,up
PRDM2,1.659035035,5.11E-13,up
FAM199X,1.658810951,1.97E-10,up
NAGA,1.658363294,1.11E-15,up
,-1.658309497,2.19E-07,down
CHMP5,1.657712993,6.20E-14,up
PAQR7,-1.656789804,3.55E-15,down
CRY2,-1.656122448,7.45E-12,down
TMEM198B,-1.655991343,2.29E-13,down
MICU3,-1.655323699,1.81E-10,down
CDK8,1.655298825,2.32E-06,up
KANK1,-1.655247049,9.12E-05,down
VIT,-1.654507448,2.99E-05,down
MANEAL,1.654438399,0.002161377,up
FRZB,-1.654338224,0.003497187,down
RITA1,1.654240601,1.11E-13,up
TBRG1,-1.653633706,3.36E-13,down
TMEM259,1.653589517,6.16E-10,up
TMEM2,1.653364818,3.42E-10,up
MED13L,1.653363371,1.82E-05,up
ANTXR1,1.652545741,0.000149196,up
TSPAN1,1.65239951,0.016090887,up
HSPA5,1.652236923,4.70E-21,up
CISD2,1.652218993,8.34E-15,up
OBSCN,-1.652105944,3.17E-09,down
BBX,1.652102462,6.47E-10,up
ITSN2,1.651351937,1.58E-09,up
MORN2,1.650368385,9.27E-10,up
,1.649949615,1.69E-08,up
MAGI2,-1.649646699,0.000148502,down
FBXW2,1.649352259,5.84E-13,up
INTS12,1.649173336,9.10E-13,up
ZAK,-1.649056462,5.69E-10,down
TMEM126B,1.648960196,1.70E-13,up
SUGT1,-1.648731049,4.03E-32,down
PLCB1,-1.648526958,0.005977886,down
FLJ11292,-1.648423336,7.17E-32,down
ATG16L1,1.648239867,5.44E-09,up
SH3RF1,1.647959692,5.94E-06,up
TRIM14,1.647880035,1.32E-08,up
MTF2,1.647590161,1.22E-09,up
LMNA,-1.647545713,2.05E-13,down
TUBD1,1.646952846,2.95E-05,up
PPP1R16B,-1.645526797,3.21E-08,down
PLS1,1.645489713,0.001525881,up
TP53I11,1.645168014,4.60E-08,up
EPYC,1.644946965,0.016667052,up
GYPC,-1.644098049,1.80E-10,down
IRAK3,-1.643919881,0.00055348,down
,1.64378919,8.41E-05,up
PIK3R4,1.643542671,7.74E-17,up
ST6GAL2,1.643512881,0.00364587,up
FNTA,1.643399531,5.21E-08,up
MIR155,1.642706566,0.002936659,up
RIOK2,1.642183797,2.43E-18,up
RAP2B,1.641744762,7.10E-13,up
TMEM123,1.641495769,8.13E-09,up
ARHGAP18,1.641180196,4.06E-06,up
GOSR1,1.640911587,2.71E-09,up
GAL,1.640643545,0.015533369,up
FDX1,1.640375636,6.94E-09,up
CKLF,1.640153867,7.15E-15,up
FAXC,1.639459524,0.002258898,up
PAFAH2,1.639431881,7.68E-08,up
C8orf76,1.63921549,6.85E-09,up
BAG5,1.638529594,7.75E-10,up
GIMAP8,-1.638152594,9.87E-06,down
SCAF11,1.63810442,2.71E-19,up
BEX2,-1.638044007,0.009084218,down
KAT6B,1.637985699,9.23E-05,up
TMEM63A,1.637581839,6.65E-08,up
RHOC,1.637148448,5.64E-10,up
PPIL1,1.636601427,7.68E-12,up
CDH5,-1.636387392,9.96E-08,down
CHDH,-1.636153853,6.92E-10,down
MSX1,-1.63606979,1.52E-08,down
DNAJA2,1.635709252,1.00E-12,up
MYL9,-1.635510133,6.67E-05,down
ARPC2,1.635344615,3.45E-22,up
TMEM101,-1.635273196,3.93E-05,down
RAP2C,1.635026846,2.42E-08,up
DNAJC16,1.634979517,1.10E-09,up
TTF2,1.634564105,9.56E-10,up
,-1.634267587,1.25E-07,down
SEC63,1.63379979,1.23E-09,up
ADCY7,1.633770531,1.10E-06,up
TNC,1.63317507,0.003102889,up
RTCA,1.632353406,9.53E-14,up
RP1-86D1.3,1.632197035,5.10E-05,up
EIF2S2,1.631666434,1.99E-16,up
MCM7,1.631253818,1.37E-06,up
TEF,-1.631042643,8.13E-10,down
TOB1,1.63092228,1.70E-06,up
,-1.63083279,1.18E-08,down
NUBP1,1.630678343,1.23E-17,up
SRXN1,1.629969371,5.56E-08,up
EPN2,1.629597105,5.34E-09,up
TSPAN3,1.629167979,4.99E-06,up
DTNBP1,1.628578266,2.18E-14,up
MCM3,1.628475224,1.50E-09,up
,-1.627154692,3.63E-19,down
FAM149B1,1.625748909,6.92E-07,up
PPP1R14B,1.625449077,4.75E-12,up
,-1.625384692,5.08E-31,down
PSMB9,1.624632245,0.005697181,up
MAN2A2,-1.624609497,4.12E-13,down
LSM12,1.624447818,2.19E-13,up
ACER3,1.623546091,5.83E-06,up
PTS,1.623511531,1.84E-12,up
TMEM254,1.623351573,1.71E-06,up
ARGLU1,-1.623308098,3.02E-09,down
GFM2,1.622923336,5.53E-07,up
SRD5A1,1.622675301,0.002326781,up
ZNF117,1.622050021,4.90E-05,up
TSSC1,1.621862455,5.80E-12,up
PTCH1,-1.621525497,0.000999331,down
NR1D2,1.621389923,8.05E-07,up
GTPBP2,1.620686944,3.23E-10,up
TBC1D30,1.620347955,0.001507875,up
,1.620275951,0.018829027,up
AMZ2P1,1.619794273,2.33E-09,up
RAD23A,1.619545965,2.18E-10,up
IFIH1,1.61944951,0.000469749,up
TMEM47,-1.619299923,0.000475463,down
IGJ,-1.619092252,0.03498166,down
,1.618862825,1.14E-06,up
B2M,1.618361259,3.29E-15,up
SOD2,-1.618169741,2.49E-06,down
SLC7A11,1.61761021,0.000918209,up
SERBP1,1.617098923,7.59E-12,up
ZCCHC14,1.616918301,1.94E-11,up
PHF1,-1.616909098,7.09E-21,down
CHCHD1,1.61657,4.94E-15,up
CDCA7L,-1.616390944,0.000504,down
TUBB2B,-1.615828993,0.002448122,down
NTMT1,1.614627951,7.95E-15,up
,-1.614366,1.41E-11,down
,-1.614325944,5.18E-09,down
PHF23,1.612966287,4.28E-16,up
ETFB,-1.61285186,4.06E-08,down
TIFA,1.612405734,1.36E-05,up
MIR6125,1.612381804,6.31E-15,up
,-1.612157923,1.07E-06,down
GIGYF2,1.61195379,1.88E-12,up
MFAP4,-1.611808462,0.006623033,down
TUFT1,1.611759566,6.25E-07,up
TNRC6A,1.61149042,1.43E-13,up
CDC123,1.611222133,1.27E-10,up
BACH1,1.61108972,1.20E-11,up
CIART,1.610915587,0.001356824,up
GNB4,1.610573832,3.66E-08,up
HCCS,1.610325699,1.28E-07,up
SCRN1,1.61031935,3.02E-05,up
NT5C3A,1.610299105,3.59E-11,up
NRG1,-1.610273399,2.50E-07,down
FAM89A,-1.610221455,2.73E-07,down
,-1.610007538,8.23E-25,down
ATP7B,1.609899713,0.01561962,up
PUM1,1.609888804,4.47E-17,up
KCNC4,-1.60969435,5.71E-10,down
PLXNC1,1.609450559,3.09E-06,up
PDCD10,1.609194196,1.11E-16,up
DNAJC14,1.609174,9.03E-10,up
FAM117B,1.609096455,1.44E-06,up
C6orf136,1.608575133,3.29E-10,up
LYRM9,-1.608269448,1.05E-08,down
GABPB1,1.608253399,1.27E-16,up
SIGMAR1,1.608081133,1.10E-07,up
AX746755,-1.608026671,0.017833316,down
RP11-690I21.2,-1.607617231,5.84E-16,down
PKP4,1.607515853,4.30E-06,up
PPM1D,1.607273287,1.61E-05,up
KLK7,-1.606675713,0.011064635,down
MRRF,1.606451175,1.64E-11,up
GTF2F1,1.605971832,9.37E-14,up
RAMP2,-1.605913266,1.28E-11,down
MIR3656,1.605091336,6.76E-14,up
,-1.604771147,0.000100285,down
,1.604541231,3.01E-06,up
TCF4,-1.604520769,1.87E-07,down
ANKHD1,1.60235058,7.17E-09,up
SH3GLB2,1.601699385,1.24E-05,up
NOM1,1.601542315,1.24E-07,up
PRKRA,1.601132804,2.88E-16,up
PRICKLE1,-1.600671469,3.25E-25,down
LNPEP,1.600279112,6.83E-08,up
PHLPP1,-1.60024149,0.000140751,down
MAP2K4,1.600108608,1.07E-08,up
EXOSC2,1.600057189,5.40E-11,up
WDFY2,-1.599828322,4.00E-11,down
TLCD2,-1.599509364,6.32E-06,down
PI4K2B,1.599036818,3.06E-13,up
TRIM33,1.598286084,5.68E-10,up
SLC38A2,1.59737028,1.94E-10,up
APTX,1.597223566,1.07E-08,up
PANX1,1.59646593,3.54E-12,up
PTEN,-1.59644842,5.71E-06,down
CASP3,1.596324224,1.70E-19,up
ARFGAP3,1.596281692,8.79E-12,up
PTGES,-1.595718692,0.001641678,down
,1.59565449,4.60E-07,up
TK2,-1.595499035,2.44E-11,down
PPIL3,1.59537851,2.91E-08,up
HS2ST1,1.595375077,1.96E-11,up
PPRC1,1.595354203,1.40E-13,up
HSP90AA1,1.595314755,3.52E-16,up
GALNT1,1.595145979,4.67E-12,up
,1.594779266,9.28E-06,up
FZD8,-1.594694888,0.001888354,down
PAPOLG,1.594175804,4.62E-13,up
DNAJC21,1.594125804,2.60E-15,up
HIST1H3A,1.594003685,0.01143948,up
RINT1,1.59384351,1.78E-14,up
ARL6IP5,1.593588175,3.60E-10,up
FSTL1,-1.593543776,1.89E-06,down
,1.593214573,3.96E-08,up
ITPRIPL2,1.593212629,2.05E-05,up
CRYZL1,1.592945161,4.67E-13,up
,1.592307385,0.005145659,up
GSTT1,-1.592207329,0.040295508,down
RPP40,1.591913147,5.09E-05,up
DARS2,1.591852042,2.65E-05,up
HOOK1,1.591413028,2.39E-07,up
RGS19,1.591056063,1.98E-16,up
HMGB2,1.590934126,7.26E-07,up
ASPH,1.590506294,0.000660434,up
TP53BP2,1.59038128,1.09E-06,up
TMOD3,1.589795776,4.87E-12,up
CRYBG3,-1.589456566,1.58E-06,down
SMIM15,1.589391657,1.81E-15,up
NCAPD3,1.588902063,1.94E-12,up
LINC00511,1.588793573,0.009048185,up
,1.588222972,7.48E-06,up
SMC1A,1.58778686,1.29E-13,up
RPL38,-1.587582133,1.56E-21,down
GPLD1,-1.587458189,8.88E-06,down
OVOL1,1.587170741,2.73E-05,up
EMC4,1.586422168,1.94E-14,up
,-1.586244357,4.84E-13,down
UMPS,1.585892951,8.91E-11,up
YRDC,1.585533455,4.19E-06,up
C18orf32,1.585454385,3.18E-13,up
LOC100129550,-1.585287266,6.15E-10,down
RNF170,1.585180203,4.28E-08,up
,-1.585054441,0.001286433,down
HNRNPA2B1,1.584778112,4.20E-32,up
MEF2C,-1.584536937,6.22E-06,down
C6orf211,1.58438886,0.000275688,up
SOCS2,-1.584326818,0.009311441,down
CLDN1,1.584299448,0.025396846,up
FRG1,-1.583678056,4.15E-09,down
AK021977,-1.583674245,0.00023067,down
DLD,1.583346958,2.91E-12,up
NMB,-1.583163629,4.10E-05,down
TMEM50A,1.582565811,3.39E-19,up
AK4,-1.582484629,0.008281676,down
POM121L9P,-1.581550336,1.10E-11,down
SNHG19,-1.581133455,7.31E-07,down
,1.581012601,6.91E-05,up
,-1.580978448,9.08E-08,down
CCAR1,1.580645497,2.83E-06,up
IPO4,1.580169559,6.00E-11,up
KATNBL1,1.580110315,0.000109281,up
RNF19B,1.58006442,1.22E-08,up
POM121C,1.580049126,1.37E-16,up
TXN,1.579909301,3.31E-15,up
MAPRE2,1.579746203,2.79E-07,up
PAFAH1B1,1.578940545,5.32E-12,up
PNPLA8,1.578869147,3.49E-14,up
TRRAP,1.578270119,1.05E-10,up
ALDH1A1,-1.578026028,0.003842766,down
ABTB1,-1.576992035,1.77E-16,down
EN1,1.576714,0.04189045,up
AP1G1,1.576391189,4.20E-09,up
LIMCH1,1.576001245,0.002698011,up
ZNF358,-1.575497364,6.24E-18,down
RNF13,1.575400098,2.55E-15,up
,1.574902357,1.42E-05,up
DUSP10,1.574761133,3.26E-05,up
ICE2,1.574623972,2.10E-06,up
VAMP8,1.57380251,9.23E-15,up
GPRC5B,-1.573310371,1.05E-09,down
SREK1IP1,1.572949308,9.60E-07,up
NFYA,1.572791105,1.13E-06,up
LOC100287166,-1.572326958,7.25E-33,down
INSIG1,1.572101909,1.88E-10,up
,-1.571698154,6.72E-09,down
DNMT3B,1.571571133,2.60E-05,up
SLFN5,1.571015594,0.002933952,up
FAM84B,1.570872741,3.87E-07,up
TRPM7,1.570867755,1.48E-15,up
,-1.570841825,3.47E-16,down
LMNB2,1.570378329,1.17E-07,up
,-1.570021503,2.60E-06,down
PACRGL,1.569972329,1.97E-07,up
TRAPPC8,1.569628042,1.83E-16,up
PLEKHH1,-1.569601601,0.000169882,down
CHAMP1,1.569457399,3.13E-10,up
NSUN6,-1.569140112,2.65E-07,down
LOC100506076,1.568415804,0.000703246,up
FMO1,-1.568353287,0.006056761,down
SLC39A11,1.567689776,3.85E-05,up
,1.567509776,2.39E-15,up
TMEM33,1.567430469,5.79E-11,up
NAP1L4,1.567166273,2.21E-14,up
AKT3,-1.566931357,5.06E-06,down
CAAP1,1.566853063,1.63E-10,up
C2,1.566741937,0.000176183,up
UNC5B,1.566725252,4.73E-06,up
GNPDA2,1.566589266,1.18E-06,up
CHMP2B,1.566494035,1.12E-14,up
PLEKHA4,-1.566032825,1.70E-12,down
CCDC50,-1.565898245,8.08E-09,down
LOC101928717,1.565835951,2.56E-06,up
WDR77,1.565658084,2.03E-10,up
,-1.565338776,0.00053733,down
MSMO1,1.564673427,3.87E-07,up
PPP2R2C,1.564624182,0.007993332,up
,-1.56453072,1.74E-05,down
STK24,1.564491923,2.68E-10,up
FOLH1,-1.564048734,1.33E-08,down
RGS2,-1.563938357,0.001944153,down
ZNF165,1.563730517,0.000491971,up
IL6ST,-1.563660175,0.004021719,down
SOSTDC1,-1.563422979,0.007648265,down
IPO9,1.563375322,1.05E-16,up
MIR1204,1.563354524,0.000143273,up
LOC101060604,-1.562980301,8.28E-10,down
,1.562126972,0.003195457,up
KIZ,-1.562087042,7.11E-17,down
ALG8,1.561824056,8.74E-09,up
ATP6V1D,1.561721965,1.70E-15,up
,-1.56136907,1.49E-05,down
FUT8,1.561244678,0.000355043,up
NIF3L1,1.561186028,7.92E-14,up
C3orf18,-1.561026699,1.46E-08,down
PYCRL,1.560587587,1.93E-05,up
ESAM,-1.560388804,1.64E-10,down
CCT6A,1.559814972,3.21E-14,up
HABP4,-1.559122462,1.15E-20,down
TMEM45B,1.558906364,0.026848492,up
ANKFY1,1.558524601,6.97E-08,up
DCPS,1.557752867,1.93E-08,up
LOC100507557,-1.557648692,5.38E-14,down
CDK6,1.556991063,0.001724996,up
HNRNPLL,1.556914986,1.02E-10,up
ALG9,-1.556657622,1.60E-13,down
SLC7A1,1.556297657,4.86E-06,up
SBNO2,1.556112678,2.92E-15,up
DAPK1,1.556016392,0.000272386,up
SLC5A3,1.555924965,3.63E-10,up
,1.555190909,0.000620328,up
SUPT4H1,1.555062958,1.01E-10,up
LOC101243545,-1.554971657,3.35E-17,down
LINC00263,1.554828035,1.60E-08,up
UFM1,1.554776524,6.82E-07,up
TOR1B,1.554379972,8.98E-15,up
SUB1,1.554251189,3.06E-12,up
RABGGTB,1.553953252,7.95E-14,up
MEST,-1.553826797,0.019108892,down
S1PR3,1.55329793,0.000921816,up
GOT2,1.553214951,6.83E-13,up
MRPL19,1.55215707,2.89E-13,up
MST1R,1.551604881,0.000224945,up
GPR144,-1.551075545,8.01E-36,down
,-1.550804727,0.000409925,down
KIF3A,1.550716287,7.56E-07,up
MEDAG,-1.550355776,1.70E-07,down
GPBP1L1,1.550052105,9.39E-11,up
CUX1,1.548875448,1.49E-11,up
FBXL17,-1.548644916,8.28E-11,down
PIGM,1.548603483,8.09E-12,up
NFATC1,-1.548442902,0.000400602,down
PELI2,-1.547967734,5.16E-10,down
FOXO1,-1.547385021,7.94E-09,down
,1.54716607,1.38E-07,up
FOXN3,-1.546860741,1.91E-11,down
PCMTD1,1.546540245,7.00E-06,up
DIAPH2,-1.546523399,2.28E-05,down
FAM126A,-1.546388203,6.40E-06,down
LOC101929336,1.546174014,8.04E-12,up
,1.546016259,0.021051245,up
,-1.545698685,0.008667459,down
ABHD14B,-1.54556679,7.37E-09,down
MYO1D,1.545532783,7.65E-06,up
LRRC42,1.545367343,1.75E-09,up
PAIP2B,-1.54531965,3.20E-06,down
CAB39,1.545203685,2.36E-06,up
SEC22C,1.544858727,1.33E-10,up
CDC23,1.54463328,3.92E-16,up
SH3BGRL3,1.544389035,5.19E-16,up
TPI1,1.544134476,2.20E-09,up
IGKC,1.543663615,0.025548139,up
SH3RF2,-1.543632636,3.99E-08,down
SNORD89,1.543569979,4.67E-14,up
COPS5,1.54334435,1.97E-12,up
ZNF567,1.543306336,6.94E-10,up
SDK2,-1.542503524,0.000214764,down
SPATS2L,1.542420811,2.82E-10,up
GPX8,1.542409385,0.000117143,up
DSPP,-1.54220207,6.52E-29,down
PLK1,1.54217751,0.001934175,up
SUMO1,1.542120825,2.66E-20,up
NBPF20,1.542085524,2.54E-06,up
,-1.541780685,1.21E-40,down
SZRD1,1.541375014,2.88E-14,up
ZMPSTE24,1.541362874,1.43E-19,up
RPL15,-1.54119621,2.46E-12,down
CDK4,1.541007783,2.96E-09,up
SERP1,1.540342944,7.50E-15,up
PACSIN2,1.540241944,8.02E-08,up
NLGN4X,-1.540051224,0.007492886,down
PRMT5,1.539896056,1.30E-13,up
C12orf49,1.539869413,3.17E-13,up
MYO5A,1.539717755,2.70E-08,up
CDYL2,1.539422245,0.000273364,up
POLR2D,1.538813168,2.03E-11,up
ADORA1,-1.538376133,0.000230569,down
C7orf55-LUC7L2,1.537796853,6.04E-16,up
TBK1,1.53722572,2.42E-16,up
EPHB3,1.537168042,0.003792589,up
PRIMPOL,1.537032462,1.50E-05,up
PPM1H,1.53677393,0.001206728,up
MAGI3,1.536583007,0.000126052,up
RCOR1,1.536382028,1.35E-12,up
PIGH,1.536283434,3.04E-09,up
RASA2,1.536114448,9.85E-08,up
MIOS,1.535770007,7.97E-14,up
ZBTB10,1.535377958,5.43E-05,up
,1.534960434,5.88E-08,up
TBC1D4,-1.53478065,1.37E-09,down
CIB1,1.534062888,2.85E-09,up
LTB,1.533747783,0.004793472,up
MAP1LC3B,1.533063636,2.41E-10,up
ATR,1.533042727,6.18E-13,up
RUVBL1,1.532781846,3.16E-10,up
HEXIM1,1.532642427,9.76E-09,up
SKA3,1.532486427,1.19E-05,up
MARK2,1.532241993,2.69E-14,up
NOP16,1.531758315,8.69E-08,up
WDR61,1.531754755,2.11E-13,up
GBA,1.531357007,5.64E-09,up
,-1.53109586,7.04E-12,down
GZMK,1.530984748,0.029657712,up
GCA,1.530913769,8.72E-06,up
,-1.530850448,4.76E-12,down
RSU1,1.530558545,4.22E-09,up
RNF130,1.530432902,4.64E-09,up
